Govregion,County,District,PrivateBEV,PrivatePHEV,PrivateHEV,PrivateTotalEV,PrivateTotalCar,CompanyBEV,CompanyPHEV,CompanyHEV,CompanyTotalEV,CompanyTotalCar,TotalCars,PBEV1k,PPHEV1k,PHEV1k,PPEV1k,CBEV1k,CPHEV1k,CHEV1k,CPEV1k,TBEV1k,TPHEV1k,THEV1k,TPEV1k,TCC1k
London,Greater London,Tower Hamlets,35,43,1851,1929,39776,33,28,451,512,3790,43566,0.879927595,1.081053902,46.53559936,1.960981496,8.707124011,7.387862797,118.9973615,16.09498681,1.560850204,1.629711243,52.83937015,3.190561447,86.99444521
North West,Manchester Metropolitan Area,Trafford,96,50,1036,1182,104855,29,39,86,154,5857,110712,0.915550045,0.476848982,9.880310906,1.392399027,4.951340277,6.658698993,14.68328496,11.61003927,1.129055568,0.803887564,10.13440277,1.932943132,52.90302768
South East,Kent,Tunbridge Wells,78,54,457,589,57892,13,37,69,119,2403,60295,1.34733642,0.932771367,7.894009535,2.280107787,5.409904286,15.39741989,28.71410737,20.80732418,1.509246206,1.509246206,8.723774774,3.018492412,39.85405092
East of England,Essex,Uttlesford,52,39,317,408,50152,14,18,22,54,3115,53267,1.036847982,0.777635987,6.320784814,1.814483969,4.494382022,5.778491172,7.062600321,10.27287319,1.239041057,1.070080913,6.364165431,2.30912197,58.47898324
South East,Oxfordshire,Vale of White Horse,89,50,494,633,70133,19,15,23,57,2190,72323,1.269017438,0.712931145,7.043759714,1.981948583,8.675799087,6.849315068,10.50228311,15.52511416,1.493300886,0.898745904,7.14848665,2.39204679,30.28082353
Yorkshire and Humberside,West Yorkshire Metropolitan Area,Wakefield,54,56,635,745,145313,25,63,60,148,9735,155048,0.371611625,0.385375018,4.369877437,0.756986643,2.568053416,6.471494607,6.163328197,9.039548023,0.509519633,0.767504257,4.482482844,1.277023889,62.78700789
West Midlands,West Midlands Metropolitan Area,Walsall,63,31,539,633,112174,13,30,51,94,5861,118035,0.561627472,0.276356375,4.805035035,0.837983847,2.218051527,5.118580447,8.70158676,7.336631974,0.643876816,0.516795866,4.998517389,1.160672682,49.65476342
London,Greater London,Waltham Forest,40,27,1747,1814,74945,12,12,676,700,3923,78868,0.533724731,0.360264194,23.31042765,0.893988925,3.058883508,3.058883508,172.3171043,6.117767015,0.659329513,0.494497134,30.7222194,1.153826647,49.74133996
London,Greater London,Wandsworth,108,129,1813,2050,77133,27,15,163,205,3236,80369,1.400178912,1.672435922,23.50485525,3.072614834,8.343634116,4.635352287,50.37082818,12.9789864,1.679752143,1.791735619,24.58659433,3.471487763,40.264281
North West,Warrington UA,Warrington UA,85,37,641,763,102341,26,42,66,134,5010,107351,0.830556668,0.361536432,6.263374405,1.192093101,5.189620758,8.383233533,13.17365269,13.57285429,1.0339913,0.735903718,6.585872512,1.769895017,46.66933703
West Midlands,Warwickshire,Warwick,76,31,376,483,70029,14,32,32,78,3394,73423,1.085264676,0.442673749,5.369204187,1.527938426,4.124926341,9.428403064,9.428403064,13.5533294,1.22577394,0.858041758,5.556841862,2.083815698,46.22529725
East of England,Hertfordshire,Watford,37,21,635,693,41526,149,496,279,924,19456,60982,0.891008043,0.505707268,15.29162452,1.396715311,7.658305921,25.49342105,14.34004934,33.15172697,3.050080352,8.477911515,14.98802925,11.52799187,319.0449641
East of England,Suffolk,Waveney,26,31,240,297,56927,7,17,19,43,2528,59455,0.45672528,0.544557064,4.215925659,1.001282344,2.768987342,6.724683544,7.515822785,9.493670886,0.555041628,0.807333277,4.356235809,1.362374905,42.5195526
South East,Surrey,Waverley,87,56,641,784,71922,25,63,62,150,2561,74483,1.209643781,0.778621284,8.912432913,1.988265065,9.761811792,24.59976572,24.20929324,34.36157751,1.503698831,1.597680008,9.438395339,3.101378838,34.38368487
South East,East Sussex,Wealden,115,70,781,966,91846,14,24,46,84,3352,95198,1.2520959,0.76214533,8.503364327,2.01424123,4.176610979,7.159904535,13.72315036,11.33651551,1.355070485,0.987415702,8.687157293,2.342486187,35.21082376
East Midlands,Northamptonshire,Wellingborough,18,17,208,243,39355,4,13,13,30,1691,41046,0.457375175,0.431965443,5.285224241,0.889340617,2.365464222,7.687758723,7.687758723,10.05322295,0.535984018,0.730887297,5.384203089,1.266871315,41.19768065
East of England,Hertfordshire,Welwyn Hatfield,65,33,678,776,54339,8,24,56,88,2029,56368,1.196194262,0.607298625,12.4772263,1.803492887,3.94282898,11.82848694,27.59980286,15.77131592,1.295061028,1.011212035,13.02157252,2.306273063,35.99560034
South East,West Berkshire UA,West Berkshire UA,106,63,557,726,88490,127,1649,678,2454,37490,125980,1.197875466,0.711944853,6.294496553,1.909820319,3.387570019,43.98506268,18.08482262,47.3726327,1.849499921,13.58945864,9.803143356,15.43895856,297.5869186
South West,Devon,West Devon,20,10,129,159,30939,0,12,2,14,1181,32120,0.646433304,0.323216652,4.169494812,0.969649956,0,10.16088061,1.693480102,10.16088061,0.622665006,0.684931507,4.078455791,1.307596513,36.76836862
South West,Dorset,West Dorset,46,29,248,323,56707,14,30,9,53,2400,59107,0.811187331,0.511400709,4.373357787,1.32258804,5.833333333,12.5,3.75,18.33333333,1.015108194,0.998189724,4.348046763,2.013297917,40.60432774
Scotland,West Dunbartonshire UA,West Dunbartonshire UA,12,6,142,160,35342,12,9,19,40,2197,37539,0.339539358,0.169769679,4.017882406,0.509309037,5.461993628,4.096495221,8.648156577,9.558488848,0.639335092,0.399584432,4.288872906,1.038919524,58.52579983
North West,Lancashire,West Lancashire,35,24,375,434,54518,12,17,30,59,3079,57597,0.641989802,0.440221578,6.878462159,1.08221138,3.897369276,5.521273141,9.743423189,9.418642416,0.816014723,0.711842631,7.03161623,1.527857354,53.45764536
East Midlands,Lincolnshire,West Lindsey,28,19,290,337,49528,5,21,14,40,2032,51560,0.565336779,0.383621386,5.855273785,0.948958165,2.460629921,10.33464567,6.88976378,12.79527559,0.640031032,0.77579519,5.896043445,1.415826222,39.41039566
Scotland,West Lothian UA,West Lothian UA,62,32,417,511,80780,11,17,65,93,4593,85373,0.767516712,0.396137658,5.162168854,1.16365437,2.394948835,3.701284563,14.15197039,6.096233399,0.855071275,0.573951952,5.645813079,1.429023227,53.79921052
South East,Oxfordshire,West Oxfordshire,45,37,322,404,60425,12,35,227,274,2553,62978,0.744724866,0.612329334,5.328920149,1.357054199,4.700352526,13.70936154,88.91500196,18.40971406,0.905077964,1.143256375,8.717329861,2.048334339,40.53796564
South West,Somerset,West Somerset,12,12,100,124,18910,2,1,7,10,749,19659,0.634584876,0.634584876,5.288207298,1.269169751,2.670226969,1.335113485,9.345794393,4.005340454,0.712142021,0.661274734,5.442799735,1.373416756,38.09959815
London,Greater London,Westminster,317,185,1529,2031,44115,201,136,388,725,6375,50490,7.185764479,4.193584948,34.6594129,11.37934943,31.52941176,21.33333333,60.8627451,52.8627451,10.25945732,6.357694593,37.96791444,16.61715191,126.2626263
South West,Dorset,Weymouth and Portland,16,9,108,133,30390,1,3,9,13,909,31299,0.526488977,0.296150049,3.553800592,0.822639026,1.100110011,3.300330033,9.900990099,4.400440044,0.543148343,0.383398831,3.738138599,0.926547174,29.04246142
North West,Manchester Metropolitan Area,Wigan,83,20,746,849,139099,23,38,64,125,8334,147433,0.596697316,0.143782486,5.363086722,0.740479802,2.759779218,4.559635229,7.679385649,7.319414447,0.718970651,0.393399035,5.494021013,1.112369687,56.52737176
South West,Wiltshire UA,Wiltshire UA,279,136,1325,1740,264923,45,68,177,290,12865,277788,1.053136194,0.513356711,5.001453252,1.566492905,3.497862417,5.285658764,13.75825884,8.783521182,1.166357078,0.734372975,5.407001022,1.900730053,46.31229571
South East,Hampshire,Winchester,89,54,510,653,64482,14,27,49,90,3237,67719,1.380230142,0.837443007,7.909183958,2.217673149,4.324992277,8.341056534,15.13747297,12.66604881,1.520991155,1.196119258,8.254699567,2.717110412,47.80046959
South East,Windsor and Maidenhead UA,Windsor and Maidenhead UA,103,59,795,957,81974,36,50,79,165,3193,85167,1.256495962,0.719740405,9.698196989,1.976236368,11.27466333,15.65925462,24.7416223,26.93391795,1.632087546,1.279838435,10.26219075,2.911925981,37.491047
North West,Merseyside Metropolitan Area,Wirral,80,46,951,1077,137572,19,29,72,120,9374,146946,0.58151368,0.334370366,6.912743872,0.915884046,2.026882868,3.093663324,7.680819287,5.120546192,0.673716876,0.510391572,6.961741048,1.184108448,63.79214133
South East,Surrey,Woking,51,25,716,792,53479,11,13,25,49,1647,55126,0.953645356,0.467473214,13.38843284,1.42111857,6.678809957,7.893139041,15.17911354,14.571949,1.124696151,0.689329899,13.44193303,1.814026049,29.87700903
South East,Wokingham UA,Wokingham UA,84,77,1204,1365,92799,10,38,52,100,2342,95141,0.905182168,0.829750321,12.97427774,1.734932488,4.269854825,16.22544833,22.20324509,20.49530316,0.988007273,1.208732303,13.20145889,2.196739576,24.61609611
West Midlands,West Midlands Metropolitan Area,Wolverhampton,46,15,521,582,98853,17,25,72,114,5768,104621,0.46533742,0.151740463,5.270452085,0.617077883,2.947295423,4.334257975,12.48266297,7.281553398,0.60217356,0.382332419,5.668078111,0.984505979,55.13233481
West Midlands,Worcestershire,Worcester,33,10,197,240,47183,6,8,28,42,9500,56683,0.699404447,0.211940741,4.175232605,0.911345188,0.631578947,0.842105263,2.947368421,1.473684211,0.688036978,0.317555528,3.969444101,1.005592506,167.5987509
South East,West Sussex,Worthing,34,14,288,336,50681,13,19,22,54,1612,52293,0.670862848,0.276237643,5.682602948,0.947100491,8.064516129,11.7866005,13.64764268,19.85111663,0.898781864,0.631059606,5.928135697,1.52984147,30.82630562
Wales,Wrexham UA,Wrexham UA,22,22,221,265,64595,9,7,10,26,2711,67306,0.340583637,0.340583637,3.421317439,0.681167273,3.319808189,2.582073036,3.688675765,5.901881225,0.460583009,0.430867976,3.432086292,0.891450985,40.27872701
West Midlands,Worcestershire,Wychavon,66,37,385,488,83141,107,33,35,175,5561,88702,0.793832165,0.445027123,4.630687627,1.238859287,19.24114368,5.934184499,6.293832045,25.17532818,1.950350612,0.789159207,4.734955243,2.739509819,62.69306216
South East,Buckinghamshire,Wycombe,98,79,829,1006,95582,137,67,196,400,6146,101728,1.02529765,0.826515453,8.673181143,1.851813103,22.29092092,10.90139928,31.89066059,33.19232021,2.310081787,1.435199748,10.07588864,3.745281535,60.41601132
North West,Lancashire,Wyre,54,22,408,484,54058,9,10,32,51,2610,56668,0.998927078,0.406970291,7.547449036,1.405897369,3.448275862,3.831417625,12.2605364,7.279693487,1.111738547,0.564692595,7.764523188,1.676431143,46.05773982
West Midlands,Worcestershire,Wyre Forest,41,22,182,245,52757,8,18,12,38,2878,55635,0.777148056,0.417006274,3.449779176,1.19415433,2.779708131,6.254343294,4.169562196,9.034051425,0.880740541,0.71897187,3.487013571,1.599712411,51.73002606
Yorkshire and Humberside,York UA,York UA,51,31,595,677,80427,18,24,67,109,3897,84324,0.634115409,0.3854427,7.398013105,1.019558109,4.618937644,6.158583526,17.19271234,10.77752117,0.818272378,0.652246098,7.850671221,1.470518476,46.21460083
